Id;addr:full;addr:street;addr:housenumber;addr:block;addr:floor;addr:housename;addr:postcode;addr:city;addr:place;latitud_v1;longitud_v1;latitud;longitud;estat
563;Carrer Àngel Guimerà, 81, 2n 4a;Carrer Àngel Guimerà;81;;2;;17190 ;Salt;;;;0,0;0,0;KO
564;Carrer Àngel Guimerà, 99;Carrer Àngel Guimerà;99;;;;17190 ;Salt;;;;0,0;0,0;KO
565;Carrer de Sant Dionisi, 42;Carrer de Sant Dionisi;42;;;;17190 ;Salt;;;;41,976216031;2,790862541;OK
566;Carrer Major, 73, 1r 1a;Carrer Major;73;;1;;17190 ;Salt;;;;41,975912875;2,797311406;OK
567;Carrer Països Catalans, 132, 1r 3a;Carrer Països Catalans;132;;1;;17190 ;Salt;;;;41,972550413;2,790536161;OK
568;Carrer Sant Antoni, 1 (Comacross);Carrer Sant Antoni;1;;;Comacross;17190 ;Salt;;;;41,977519295;2,796185258;OK
569;Carrer Sant Joan, 22;Carrer Sant Joan;22;;;;17190 ;Salt;;;;41,975508412;2,783464987;OK
570;Carrer Torres i Bages, 14, 4t 3a;Carrer Torres i Bages;14;;4;;17190 ;Salt;;;;41,973277179;2,789960041;OK
571;Carrer Botines, 26, baixos;Carrer Botines;26;;;;17200 ;Palafrugell;;;;41,915704035;3,164261435;OK
572;Carrer Botines, 26, baixos;Carrer Botines;26;;;;17200 ;Palafrugell;;;;41,915704035;3,164261435;OK
573;Carrer Còrdova, 43;Carrer Còrdova;43;;;;17220 ;Sant Feliu de Guíxols;;;;0,0;0,0;KO
574;Plaça Salvador Espriu, s/n, despatx 1;Plaça Salvador Espriu;s/n;;;;17220 ;Sant Feliu de Guíxols;;;;0,0;0,0;KO
575;Passeig Romeu, 16;Passeig Romeu;16;;;;17240 ;Llagostera;;;;41,824251303;2,891136301;OK
576;Carrer del Tren, 49;Carrer del Tren;49;;;;17242 ;Quart;;41,9387781;2,8380249;41,938715373;2,838087718;OK
577;Carretera Provincial, 116, 2n 5a;Carretera Provincial;116;;2;;17244 ;Cassà de la Selva;;;;41,889841595;2,87382228;OK
578;Passeig de Pompeu Fabra, 2 (SIAD);Passeig de Pompeu Fabra;2;;;;17246 ;Santa Cristina d'Aro;;;;41,811641487;2,997837882;OK
579;Carrer de les Escoles, 2 (Centre Cívic de Castell-Platja d'Aro);Carrer de les Escoles;2;;;Centre Cívic de Castell-Platja d'Aro;17250 ;Castell-Platja d'Aro;;;;41,818164944;3,064058946;OK
580;Carrer de Puicerver, 17, 1r 1a;Carrer de Puicerver;17;;1;;17251 ;Calonge;;;;0,0;0,0;KO
581;Carrer Major, 31 (Casa Pastors);Carrer Major;31;;;Casa Pastors;17257 ;Torroella de Montgrí;;;;42,03986504;3,125982387;OK
582;Carrer Santa Caterina , 53, 1 D;Carrer Santa Caterina ;53;;1;;17257 ;Torroella de Montgrí;;;;42,044930176;3,126679849;OK
583;Carrer de l'Or, 2, bis;Carrer de l'Or;2bis;;;;17300 ;Blanes;;;;41,67446887;2,793137069;OK
584;Carrer Horta d'en Creus, 40,3r.2ª;Carrer Horta d'en Creus;40;;3;;17300 ;Blanes;;;;41,676009774;2,787823783;OK
585;Carrer Maragda, 6;Carrer Maragda;6;;;;17300 ;Blanes;;41,6705138;2,7851653;41,670521417;2,785092987;OK
586;Mas Carolet, 40-42, 2n 1a;Mas Carolet;40-42;;2;;17300 ;Blanes;;;;0,0;0,0;KO
587;Plaça Argentina,5;Plaça Argentina;5;;;;17300 ;Blanes;;;;0,0;0,0;KO
588;Carrer de Joan Alcover, 7, bústia 15;Carrer de Joan Alcover;7;;;;17310 ;Lloret de Mar;;;;41,709173473;2,859406537;OK
589;Carrer de la Vila, 6;Carrer de la Vila;6;;;;17310 ;Lloret de Mar;;41,6998899;2,8489925;41,699406333;2,847480558;OK
590;Carrer Francesc Pi i Maragall, 2-4, 1r. 3a;Carrer Francesc Pi i Maragall;2-4;;1;;17310 ;Lloret de Mar;;;;41,700577176;2,833678032;OK
591;Carrer Francesc Torrescassana, 3;Carrer Francesc Torrescassana;3;;;;17310 ;Lloret de Mar;;;;41,707780393;2,840291929;OK
